Polyline,X,Y
1,451,488
2,460,488
3,409,430
4,451,488
1,460,488
2,409,430
3,454,425
4,460,488
1,425,488
2,431,488
3,385,432
4,425,488
1,431,488
2,385,432
3,409,430
4,431,488
1,431,488
2,409,430
3,451,488
4,431,488
1,416,488
2,418,488
3,377,433
4,416,488
1,418,488
2,377,433
3,385,432
4,418,488
1,418,488
2,385,432
3,425,488
4,418,488
1,412,488
2,413,488
3,373,433
4,412,488
1,413,488
2,373,433
3,377,433
4,413,488
1,413,488
2,377,433
3,416,488
4,413,488
1,408,488
2,409,488
3,369,433
4,408,488
1,409,488
2,369,433
3,373,433
4,409,488
1,409,488
2,373,433
3,412,488
4,409,488
1,404,488
2,405,488
3,365,434
4,404,488
1,405,488
2,365,434
3,369,433
4,405,488
1,405,488
2,369,433
3,408,488
4,405,488
1,399,488
2,401,488
3,361,434
4,399,488
1,401,488
2,361,434
3,365,434
4,401,488
1,401,488
2,365,434
3,404,488
4,401,488
1,395,488
2,396,488
3,357,435
4,395,488
1,396,488
2,357,435
3,361,434
4,396,488
1,396,488
2,361,434
3,399,488
4,396,488
1,391,488
2,392,488
3,353,435
4,391,488
1,392,488
2,353,435
3,357,435
4,392,488
1,392,488
2,357,435
3,395,488
4,392,488
1,387,488
2,388,488
3,349,435
4,387,488
1,388,488
2,349,435
3,353,435
4,388,488
1,388,488
2,353,435
3,391,488
4,388,488
1,383,488
2,384,488
3,345,436
4,383,488
1,384,488
2,345,436
3,349,435
4,384,488
1,384,488
2,349,435
3,387,488
4,384,488
1,379,488
2,381,488
3,342,436
4,379,488
1,381,488
2,342,436
3,345,436
4,381,488
1,381,488
2,345,436
3,383,488
4,381,488
1,376,488
2,377,488
3,339,436
4,376,488
1,377,488
2,339,436
3,342,436
4,377,488
1,377,488
2,342,436
3,379,488
4,377,488
1,373,488
2,374,488
3,336,436
4,373,488
1,374,488
2,336,436
3,339,436
4,374,488
1,374,488
2,339,436
3,376,488
4,374,488
1,365,488
2,369,488
3,329,437
4,365,488
1,369,488
2,329,437
3,336,436
4,369,488
1,369,488
2,336,436
3,373,488
4,369,488
1,351,488
2,358,488
3,316,438
4,351,488
1,358,488
2,316,438
3,329,437
4,358,488
1,358,488
2,329,437
3,365,488
4,358,488
1,333,488
2,343,488
3,299,440
4,333,488
1,343,488
2,299,440
3,316,438
4,343,488
1,343,488
2,316,438
3,351,488
4,343,488
1,299,440
2,299,440
3,333,488
4,299,440
1,299,440
2,333,488
3,333,488
4,299,440
1,332,488
2,333,488
3,298,440
4,332,488
1,333,488
2,298,440
3,299,440
4,333,488
1,333,488
2,299,440
3,333,488
4,333,488
1,331,488
2,332,488
3,297,440
4,331,488
1,332,488
2,297,440
3,298,440
4,332,488
1,332,488
2,298,440
3,332,488
4,332,488
1,329,488
2,330,488
3,295,440
4,329,488
1,330,488
2,295,440
3,297,440
4,330,488
1,330,488
2,297,440
3,331,488
4,330,488
1,327,488
2,328,488
3,293,440
4,327,488
1,328,488
2,293,440
3,295,440
4,328,488
1,328,488
2,295,440
3,329,488
4,328,488
1,324,488
2,325,488
3,290,441
4,324,488
1,325,488
2,290,441
3,293,440
4,325,488
1,325,488
2,293,440
3,327,488
4,325,488
1,321,488
2,322,488
3,287,441
4,321,488
1,322,488
2,287,441
3,290,441
4,322,488
1,322,488
2,290,441
3,324,488
4,322,488
1,317,488
2,318,488
3,284,441
4,317,488
1,318,488
2,284,441
3,287,441
4,318,488
1,318,488
2,287,441
3,321,488
4,318,488
1,278,488
2,294,488
3,247,444
4,278,488
1,294,488
2,247,444
3,284,441
4,294,488
1,294,488
2,284,441
3,317,488
4,294,488
1,260,488
2,268,488
3,230,446
4,260,488
1,268,488
2,230,446
3,247,444
4,268,488
1,268,488
2,247,444
3,278,488
4,268,488
1,205,488
2,235,488
3,178,450
4,205,488
1,235,488
2,178,450
3,230,446
4,235,488
1,235,488
2,230,446
3,260,488
4,235,488
1,192,488
2,199,488
3,165,451
4,192,488
1,199,488
2,165,451
3,178,450
4,199,488
